"","Microbiome","Taxon","beetroot","BetaVia","Carrot","Cellulose","Dryapple","Dryspinach","Ginger","Grdbeet","guar","HFSfiber","Jerusalem","kappa","Lemon","locust","MCfiber","Mushroom","Oat-B","Oat-C","Oat-PBV","Olive","Pomegranate","Psyllium","xanthan"
"14","K5","Clostridium",-0.144,0.386,-0.084,0.969,-0.198,-0.323,-0.543,-0.358,-0.099,0.056,-0.261,-0.429,-0.153,-0.216,-0.005,1.195,-0.038,0.023,-0.213,-0.371,-0.257,-0.414,-0.094
"15","K7","Fusobacterium",-37.446,-31.584,-11.036,-42.124,-92.2,10.393,-25.767,-61.071,-44.066,-80.307,-55.653,-25.922,-18.883,-29.955,-33.533,-29.483,-27.901,-30.508,-15.041,-9.077,-57.795,-2.312,-0.883
"16","K7","Bacillus",0,-0.013,0.003,-0.092,-0.04,-0.013,-0.013,0.002,0.005,0.003,0,-0.013,0.018,0.043,0.002,0.149,0.015,0,0.091,-0.007,-0.011,-0.026,0
"17","K7","Bifidobacterium",0,0,0,0.036,0,0,0,-0.013,0,0,0.036,0,-0.013,-0.013,-0.04,0,0,0,0,0.001,0,0,0
"18","K7","Faecalibacterium",-8.167,2.109,-7.97,-10.762,-11.191,0.716,0.188,-1.375,-6.876,11.134,-5.795,-5.573,-20.754,-8.584,-3.304,14.12,-2.056,-1.289,-2.173,-11.816,-5.648,-13.941,-16.97
"19","K7","Blautia",-8.525,-3.823,-4.112,1.398,-1.662,-4.241,1.261,0.122,-1.122,5.884,0.609,5.934,-5.017,-8.459,-0.333,-3.388,-2.15,-2.919,-5.221,-11.314,0.159,-2.111,2.417
"20","K7","Lachnospiraceae UCG-010",0,-0.013,0,0,-0.046,0,-0.007,0.021,0.036,0,0,0,-0.007,0.003,0,0,0,0,-0.013,0,0,0,0.021
"21","K7","Clostridium",0,0.021,-0.013,0.018,0,-0.026,-0.026,0,0,0.028,0,0.018,0,0.002,0,-0.038,0,0,0,-0.043,-0.026,-0.012,0.005
"22","K10","Fusobacterium",-96.218,23.805,-35.914,-13.922,4.442,-8.121,-55.172,-54.823,-40.947,-107.086,-11.233,-32.546,-17.361,-49.581,-109.723,-33.179,-34.65,-107.218,-18.158,-92.578,168.686,37.62,-22.404
"23","K10","Bacillus",0,0,0,0.054,-0.026,-0.039,-0.013,-0.026,0,-0.007,-0.02,0,0,-0.02,0,-0.101,-0.013,0,-0.013,-0.026,0,0.002,0.003
"24","K10","Bifidobacterium",0,0,0,0,0,0,-0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25","K10","Faecalibacterium",-24.373,-36.916,-60.261,-54.163,-99.49,-62.48,81.186,-75.658,-53.043,-37.056,-58.541,13.507,-85.734,-10.358,-36.327,4.764,-17.406,-18.52,-28.15,-60.649,-95.497,-62.868,-27.746
"26","K10","Blautia",-5.388,-2.2,-0.479,0.955,-0.97,-0.558,1.028,1.083,-6.215,9.35,4.558,-9.196,-1.053,-1.236,2.431,0.793,-6.282,2.492,-0.432,-2.086,-2.37,-5.289,3.507
"27","K10","Lachnospiraceae UCG-010",-2.061,-0.807,-1.097,0.931,-2.182,-2.422,-1.13,-0.149,0.993,-2.277,-0.366,-1.842,-1.205,-1.936,-3.606,-1.578,-5.305,-6.508,-8.195,-3.754,-3.576,-1.391,-0.422
"28","K10","Clostridium",0,0,0,0,0.005,0.018,0,0,0,0,0,0.007,0,0,-0.007,0,0.002,-0.013,0.023,0.002,0,0,0
